school_name,join_key,overall_subscription_rates,applicants_total,vacancies_total,rank,is_good_school,school_tier
Henry Park Primary School,HENRYPARKPRIMARYSCHOOL,0.9911111111111112,223,225,58,True,Good
Keming Primary School,KEMINGPRIMARYSCHOOL,0.9902912621359223,204,206,59,True,Good
Anderson Primary School,ANDERSONPRIMARYSCHOOL,0.9754601226993865,159,163,60,False,Normal
Fengshan Primary School,FENGSHANPRIMARYSCHOOL,0.96,144,150,61,False,Normal
Bukit Panjang Primary School,BUKITPANJANGPRIMARYSCHOOL,0.9523809523809523,160,168,62,False,Normal
Sembawang Primary School,SEMBAWANGPRIMARYSCHOOL,0.9515151515151515,157,165,63,False,Normal
Northshore Primary School,NORTHSHOREPRIMARYSCHOOL,0.9353233830845771,188,201,64,False,Normal
Naval Base Primary School,NAVALBASEPRIMARYSCHOOL,0.9117647058823529,124,136,65,False,Normal
St. Anthony's Primary School,STANTHONYSPRIMARYSCHOOL,0.8982300884955752,203,226,66,False,Normal
Alexandra Primary School,ALEXANDRAPRIMARYSCHOOL,0.8734939759036144,145,166,67,False,Normal
St Andrew's School (Junior),STANDREWSSCHOOLJUNIOR,0.8352941176470589,213,255,68,False,Normal
Paya Lebar Methodist Girls' School (Primary),PAYALEBARMETHODISTGIRLSSCHOOL,0.8208955223880597,220,268,69,False,Normal
Punggol View Primary School,PUNGGOLVIEWPRIMARYSCHOOL,0.8207547169811321,174,212,70,False,Normal
Junyuan Primary School,JUNYUANPRIMARYSCHOOL,0.8025751072961373,187,233,71,False,Normal
Zhenghua Primary School,ZHENGHUAPRIMARYSCHOOL,0.7888198757763976,127,161,72,False,Normal
Jing Shan Primary School,JINGSHANPRIMARYSCHOOL,0.7867647058823529,107,136,73,False,Normal
Dazhong Primary School,DAZHONGPRIMARYSCHOOL,0.7759562841530054,142,183,74,False,Normal
Canossa Catholic Primary School,CANOSSACATHOLICPRIMARYSCHOOL,0.7596899224806202,98,129,75,False,Normal
Canberra Primary School,CANBERRAPRIMARYSCHOOL,0.7595628415300546,139,183,76,False,Normal
Raffles Girls' Primary School,RAFFLESGIRLSPRIMARYSCHOOL,0.7579617834394905,238,314,77,False,Normal
St. Gabriel's Primary School,STGABRIELSPRIMARYSCHOOL,0.7513513513513513,139,185,78,False,Normal
Mee Toh School,MEETOHSCHOOL,0.7389830508474576,218,295,79,False,Normal
Concord Primary School,CONCORDPRIMARYSCHOOL,0.7232704402515723,115,159,80,False,Normal
Tampines Primary School,TAMPINESPRIMARYSCHOOL,0.7212643678160919,251,348,81,False,Normal
Compassvale Primary School,COMPASSVALEPRIMARYSCHOOL,0.7184466019417476,148,206,82,False,Normal
Rivervale Primary School,RIVERVALEPRIMARYSCHOOL,0.714975845410628,148,207,83,False,Normal
Hougang Primary School,HOUGANGPRIMARYSCHOOL,0.7128712871287128,144,202,84,False,Normal
Springdale Primary School,SPRINGDALEPRIMARYSCHOOL,0.7045454545454546,155,220,85,False,Normal
Woodlands Primary School,WOODLANDSPRIMARYSCHOOL,0.6847826086956522,126,184,86,False,Normal
River Valley Primary School,RIVERVALLEYPRIMARYSCHOOL,0.6826923076923077,142,208,87,False,Normal
CHIJ Our Lady of the Nativity,CHIJOURLADYOFTHENATIVITY,0.6794425087108014,195,287,88,False,Normal
Ngee Ann Primary School,NGEEANNPRIMARYSCHOOL,0.6730038022813688,177,263,89,False,Normal
Haig Girls' School,HAIGGIRLSSCHOOL,0.670995670995671,155,231,90,False,Normal
St. Margaret's School (Primary),STMARGARETSSCHOOL,0.6666666666666666,164,246,91,False,Normal
Qifa Primary School,QIFAPRIMARYSCHOOL,0.6655405405405406,197,296,92,False,Normal
West Spring Primary School,WESTSPRINGPRIMARYSCHOOL,0.6568047337278107,111,169,93,False,Normal
Queenstown Primary School,QUEENSTOWNPRIMARYSCHOOL,0.6567164179104478,132,201,94,False,Normal
Zhangde Primary School,ZHANGDEPRIMARYSCHOOL,0.6347305389221557,106,167,95,False,Normal
Chongzheng Primary School,CHONGZHENGPRIMARYSCHOOL,0.6272401433691757,175,279,96,False,Normal
Opera Estate Primary School,OPERAESTATEPRIMARYSCHOOL,0.6100917431192661,133,218,97,False,Normal
Greenwood Primary School,GREENWOODPRIMARYSCHOOL,0.601123595505618,107,178,98,False,Normal
CHIJ (Katong) Primary,CHIJKATONG,0.5962962962962963,161,270,99,False,Normal
Marsiling Primary School,MARSILINGPRIMARYSCHOOL,0.5909090909090909,117,198,100,False,Normal
Bukit Timah Primary School,BUKITTIMAHPRIMARYSCHOOL,0.590443686006826,173,293,101,False,Normal
Woodgrove Primary School,WOODGROVEPRIMARYSCHOOL,0.5812807881773399,118,203,102,False,Normal
Geylang Methodist School (Primary),GEYLANGMETHODISTSCHOOL,0.5805369127516778,173,298,103,False,Normal
Kheng Cheng School,KHENGCHENGSCHOOL,0.5653495440729484,186,329,104,False,Normal
De La Salle School,DELASALLESCHOOL,0.5609756097560976,184,328,105,False,Normal
West View Primary School,WESTVIEWPRIMARYSCHOOL,0.5570469798657718,83,149,106,False,Normal
Oasis Primary School,OASISPRIMARYSCHOOL,0.5488721804511278,146,266,107,False,Normal
Peiying Primary School,PEIYINGPRIMARYSCHOOL,0.5465116279069767,141,258,108,False,Normal
Lakeside Primary School,LAKESIDEPRIMARYSCHOOL,0.5384615384615384,161,299,109,False,Normal
White Sands Primary School,WHITESANDSPRIMARYSCHOOL,0.5339366515837104,118,221,110,False,Normal
Casuarina Primary School,CASUARINAPRIMARYSCHOOL,0.515527950310559,83,161,111,False,Normal
Xishan Primary School,XISHANPRIMARYSCHOOL,0.5092838196286472,192,377,112,False,Normal
Cedar Primary School,CEDARPRIMARYSCHOOL,0.4975124378109453,200,402,113,False,Normal
Yishun Primary School,YISHUNPRIMARYSCHOOL,0.4878048780487805,160,328,114,False,Normal
CHIJ Our Lady of Good Counsel,CHIJOURLADYOFGOODCOUNSEL,0.4759825327510917,109,229,115,False,Normal
Evergreen Primary School,EVERGREENPRIMARYSCHOOL,0.47393364928909953,100,211,116,False,Normal
CHIJ Our Lady Queen of Peace,CHIJOURLADYQUEENOFPEACE,0.4707792207792208,145,308,117,False,Normal
Teck Ghee Primary School,TECKGHEEPRIMARYSCHOOL,0.45132743362831856,153,339,118,False,Normal
Innova Primary School,INNOVAPRIMARYSCHOOL,0.4342105263157895,99,228,119,False,Normal
Tampines North Primary School,TAMPINESNORTHPRIMARYSCHOOL,0.4155844155844156,224,539,120,False,Normal
Bukit View Primary School,BUKITVIEWPRIMARYSCHOOL,0.4147727272727273,219,528,121,False,Normal
St. Stephen's School,STSTEPHENSSCHOOL,0.4103585657370518,206,502,122,False,Normal
Telok Kurau Primary School,TELOKKURAUPRIMARYSCHOOL,0.4014778325123153,163,406,123,False,Normal
Fern Green Primary School,FERNGREENPRIMARYSCHOOL,0.3954659949622166,157,397,124,False,Normal
CHIJ (Kellock),CHIJKELLOCK,0.3729903536977492,116,311,125,False,Normal
Clementi Primary School,CLEMENTIPRIMARYSCHOOL,0.3694968553459119,235,636,126,False,Normal
Mayflower Primary School,MAYFLOWERPRIMARYSCHOOL,0.36213991769547327,88,243,127,False,Normal
Park View Primary School,PARKVIEWPRIMARYSCHOOL,0.3563636363636364,98,275,128,False,Normal
Palm View Primary School,PALMVIEWPRIMARYSCHOOL,0.35294117647058826,144,408,129,False,Normal
Yew Tee Primary School,YEWTEEPRIMARYSCHOOL,0.3527777777777778,127,360,130,False,Normal
Punggol Cove Primary School,PUNGGOLCOVEPRIMARYSCHOOL,0.34864864864864864,129,370,131,False,Normal
Marymount Convent School,MARYMOUNTCONVENTSCHOOL,0.3481989708404803,203,583,132,False,Normal
Xingnan Primary School,XINGNANPRIMARYSCHOOL,0.3418803418803419,80,234,133,False,Normal
Jurong Primary School,JURONGPRIMARYSCHOOL,0.34177215189873417,108,316,134,False,Normal
Xinghua Primary School,XINGHUAPRIMARYSCHOOL,0.3324324324324324,123,370,135,False,Normal
Yio Chu Kang Primary School,YIOCHUKANGPRIMARYSCHOOL,0.3310580204778157,97,293,136,False,Normal
Pioneer Primary School,PIONEERPRIMARYSCHOOL,0.32571428571428573,285,875,137,False,Normal
Fernvale Primary School,FERNVALEPRIMARYSCHOOL,0.3195121951219512,131,410,138,False,Normal
Endeavour Primary School,ENDEAVOURPRIMARYSCHOOL,0.3041575492341357,139,457,139,False,Normal
Fuchun Primary School,FUCHUNPRIMARYSCHOOL,0.29910714285714285,67,224,140,False,Normal
Jiemin Primary School,JIEMINPRIMARYSCHOOL,0.2964426877470356,75,253,141,False,Normal
Farrer Park Primary School,FARRERPARKPRIMARYSCHOOL,0.2849162011173184,102,358,142,False,Normal
Woodlands Ring Primary School,WOODLANDSRINGPRIMARYSCHOOL,0.26337448559670784,64,243,143,False,Normal
West Grove Primary School,WESTGROVEPRIMARYSCHOOL,0.2596685082872928,94,362,144,False,Normal
North Vista Primary School,NORTHVISTAPRIMARYSCHOOL,0.258974358974359,101,390,145,False,Normal
Bendemeer Primary School,BENDEMEERPRIMARYSCHOOL,0.2520107238605898,94,373,146,False,Normal
Qihua Primary School,QIHUAPRIMARYSCHOOL,0.25089605734767023,70,279,147,False,Normal
North Spring Primary School,NORTHSPRINGPRIMARYSCHOOL,0.24838709677419354,77,310,148,False,Normal
Fuhua Primary School,FUHUAPRIMARYSCHOOL,0.24471299093655588,81,331,149,False,Normal
Ang Mo Kio Primary School,ANGMOKIOPRIMARYSCHOOL,0.24242424242424243,80,330,150,False,Normal
Teck Whye Primary School,TECKWHYEPRIMARYSCHOOL,0.24162679425837322,101,418,151,False,Normal
Greenridge Primary School,GREENRIDGEPRIMARYSCHOOL,0.21658986175115208,47,217,152,False,Normal
Blangah Rise Primary School,BLANGAHRISEPRIMARYSCHOOL,0.21238938053097345,48,226,153,False,Normal
St. Anthony's Canossian Primary School,STANTHONYSCANOSSIANPRIMARYSCHOOL,0.20770877944325483,97,467,154,False,Normal
East Spring Primary School,EASTSPRINGPRIMARYSCHOOL,0.2074235807860262,95,458,155,False,Normal
Greendale Primary School,GREENDALEPRIMARYSCHOOL,0.20221606648199447,73,361,156,False,Normal
Anchor Green Primary School,ANCHORGREENPRIMARYSCHOOL,0.1956043956043956,89,455,157,False,Normal
Unity Primary School,UNITYPRIMARYSCHOOL,0.19414893617021275,73,376,158,False,Normal
Beacon Primary School,BEACONPRIMARYSCHOOL,0.18846153846153846,49,260,159,False,Normal
Cantonment Primary School,CANTONMENTPRIMARYSCHOOL,0.1848184818481848,56,303,160,False,Normal
Corporation Primary School,CORPORATIONPRIMARYSCHOOL,0.17869415807560138,52,291,161,False,Normal
Boon Lay Garden Primary School,BOONLAYGARDENPRIMARYSCHOOL,0.17079889807162535,62,363,162,False,Normal
Meridian Primary School,MERIDIANPRIMARYSCHOOL,0.1650943396226415,70,424,163,False,Normal
Yumin Primary School,YUMINPRIMARYSCHOOL,0.15296052631578946,93,608,164,False,Normal
Bedok Green Primary School,BEDOKGREENPRIMARYSCHOOL,0.1501766784452297,85,566,165,False,Normal
Montfort Junior School,MONTFORTJUNIORSCHOOL,0.1437125748502994,48,334,166,False,Normal
Pei Tong Primary School,PEITONGPRIMARYSCHOOL,0.14200298953662183,95,669,167,False,Normal
Edgefield Primary School,EDGEFIELDPRIMARYSCHOOL,0.136986301369863,70,511,168,False,Normal
New Town Primary School,NEWTOWNPRIMARYSCHOOL,0.1276595744680851,66,517,169,False,Normal
Ahmad Ibrahim Primary School,AHMADIBRAHIMPRIMARYSCHOOL,0.12570356472795496,67,533,170,False,Normal
Seng Kang Primary School,SENGKANGPRIMARYSCHOOL,0.12430939226519337,45,362,171,False,Normal
Si Ling Primary School,SILINGPRIMARYSCHOOL,0.12380952380952381,39,315,172,False,Normal
Zhonghua Primary School,ZHONGHUAPRIMARYSCHOOL,0.1220159151193634,46,377,173,False,Normal
Yuhua Primary School,YUHUAPRIMARYSCHOOL,0.119140625,61,512,174,False,Normal
First Toa Payoh Primary School,FIRSTTOAPAYOHPRIMARYSCHOOL,0.11363636363636363,50,440,175,False,Normal
Lianhua Primary School,LIANHUAPRIMARYSCHOOL,0.11277173913043478,83,736,176,False,Normal
Changkat Primary School,CHANGKATPRIMARYSCHOOL,0.10108864696734059,65,643,177,False,Normal
Gan Eng Seng Primary School,GANENGSENGPRIMARYSCHOOL,0.10094637223974763,32,317,178,False,Normal
Northoaks Primary School,NORTHOAKSPRIMARYSCHOOL,0.04582651391162029,28,611,179,False,Normal
